,Parent location,Green house gases emissions per capita (tonnes CO2e) (2012),Obesity rate of adult (2016),Pm2.5ug/m3 (2019),Mean BMI 18+years (2016),life expectancy at birth (2019),Daily smoking prevalence (2012),Vegetable consumption-per-capita (2019),Poultry kgpercapita(2019),Beef kgpercapit(2019),Sheep & goat Kgpercapita(2019),Pig Kgpercapita(2019),Other meat Kgpercapita(2019),Fish & seafood Kgpercapita (2019),Fruit Kgpercapita (2019),Median age (2019),Share without improved water (2019),Alcohol consumption per capita (liters of pure alcohol) (15+ years of age) (2018),Lung Estimated number of prevalent cases (1-year) as a proportion (2020)
0,3,0.59,0.055,62.49,23.4,63.21,11.9,61.94331,1.8129749,2.7496786,3.4547246,0.010072083,0.31223458,0.37266707,38.62644,16.3,25.65,0.209999993443489,2.0
1,4,3.07,0.217,16.28,26.7,78.0,20.5,331.17892,12.259946,13.232321,8.711278,6.415671,0.5613712,8.661156,186.78624,36.5,3.03,7.17000007629394,19.2
2,1,4.7,0.274,22.68,25.5,77.13,11.2,207.92915,6.563,4.8894854,8.1357,0.020162826,0.34276804,3.881344,108.33487,27.4,0.74,0.949999988079071,5.3
3,1,1.66,0.082,27.16,23.3,63.06,8.6999998,22.87035,9.698996,4.101908,0.7967735,7.59394,0.3147747,14.361596,69.07338,16.1,33.83,6.94000005722045,0.61
4,4,4.27,0.202,34.13,26.3,76.03,26.700001,227.8747,19.525227,25.49185,3.3555708,9.395597,0.08388926,5.756901,113.030304,33.7,0.03,5.55000019073486,21.5
5,6,33.49,0.29,8.93,27.1,83.04,16.299999,85.6269,48.911198,25.961401,9.412498,28.346827,0.8945352,24.231964,65.1321,36.4,0.03,10.5100002288818,30.4
6,4,10.73,0.201,11.51,25.6,81.65,29.299999,101.00777,15.691702,16.216103,1.1698183,47.085186,0.59499377,14.491629,86.69766,42.4,0.0,11.9600000381469,34.5
7,4,6.08,0.199,24.64,27.1,71.43,22.4,181.40912,14.257432,12.234683,8.159729,0.54005426,0.0,2.0227485,85.02417,30.6,3.55,4.4099998474121,7.9
8,2,13.08,0.316,5.2,28.0,73.21,10.1,96.68575,51.572792,6.536854,1.5884844,23.480686,0.10589896,23.528824,132.06563,31.8,1.11,4.78000020980835,5.3
10,5,1.18,0.036,45.99,21.7,74.25,22.4,38.447536,1.5761225,1.2214949,1.4086595,0.0,0.0,26.577366,28.498266,25.5,1.27,0.0189999993890523,3.9
11,2,5.47,0.231,9.79,27.8,76.03,6.0,70.927055,50.122196,10.612424,3.6467404,9.3114805,0.061461918,43.965755,69.89245,38.4,1.22,9.6899995803833,11.8
13,4,11.99,0.221,11.26,26.1,81.42,26.1,133.58295,12.631484,14.405906,1.1528734,31.688984,1.9548725,22.856968,103.00674,40.7,0.0,11.079999923706,48.5
14,2,4.66,0.241,10.51,29.1,74.41,8.8999996,42.064377,27.337332,4.21346,0.08025639,21.719383,0.28089735,13.543265,80.396835,24.3,0.35,6.21999979019165,3.3
15,1,3.45,0.096,31.51,23.5,63.43,7.6999998,62.575527,9.813133,3.5046906,0.76815134,0.67213243,0.66253054,16.006353,38.59,17.4,25.5,2.80999994277954,0.45
16,5,4.38,0.064,26.1,23.9,73.11,11.0,55.859596,4.116389,9.266847,0.29828906,1.889164,0.0,7.3577967,43.261856,27.0,0.24,0.430000007152557,3.4
17,2,60.72,0.202,25.23,26.6,72.14,24.4,37.68515,41.585636,22.31782,3.196639,10.049373,1.8573744,2.776286,91.4317,23.5,7.04,4.42999982833862,3.8
19,1,39.3,0.189,12.82,24.3,62.25,13.5,47.765945,3.280856,5.5018845,2.2394607,0.4515785,11.142008,2.4329944,25.684679,23.1,3.09,6.59000015258789,1.2
20,2,14.91,0.221,10.94,26.6,75.9,13.8,49.38839,46.986732,37.06122,0.6377838,14.30031,0.52816474,8.101848,97.670616,32.0,0.7,7.42000007629394,9.3
21,4,9.3,0.25,17.29,26.4,75.07,32.299999,98.35354,22.819134,3.9603455,1.3697436,31.375069,0.7543515,7.2556705,59.841915,43.9,0.95,12.6499996185302,33.0
22,1,2.65,0.056,40.74,22.2,62.7,10.5,61.240654,9.747681,6.255974,4.112454,15.324712,0.39766657,8.894153,63.0447,16.3,22.04,12.0299997329711,0.39
23,1,0.67,0.054,28.0,21.7,63.84,13.9,37.053722,0.5534754,1.3108628,0.88361865,0.8253581,0.058260567,2.6023054,76.81656,15.3,18.42,7.19000005722045,0.8
25,1,4.79,0.114,56.37,24.3,62.36,7.0,115.02803,3.3622189,3.2016354,1.3248147,1.2746322,2.840322,19.701597,114.79719,17.3,22.07,5.65000009536743,0.81
26,2,29.56,0.294,6.39,26.9,82.24,14.5,101.02881,40.768456,25.713343,1.0568491,24.696373,0.45863268,20.857817,94.64783,39.8,0.78,8.9399995803833,39.4
27,1,114.72,0.075,27.2,22.9,53.1,8.3999996,17.061201,2.359237,18.855679,6.0939364,4.390549,5.137489,6.8317676,48.068317,14.6,36.98,2.38000011444091,0.54
28,1,8.64,0.061,41.15,21.9,59.63,7.0,6.279129,0.4746428,26.916203,17.116806,0.14832589,0.80095977,6.7142186,7.277857,14.9,39.69,1.37000000476837,0.44
29,2,6.97,0.28,20.49,28.0,80.74,28.6,71.59964,38.53221,23.451792,0.39816287,23.033722,0.7664635,14.831567,57.096558,34.3,0.0,9.06999969482421,10.9
31,2,3.7,0.223,14.04,26.2,79.31,11.3,55.28698,36.018784,14.714441,0.05015147,11.334232,0.120363526,9.017234,145.02802,30.0,2.5,5.73999977111816,6.5
32,1,0.78,0.078,14.37,24.5,67.39,10.4,11.05844,1.3231404,2.8829398,0.63467705,0.032271713,0.04302895,15.727082,62.574852,19.6,8.93,0.689999997615814,0.57
33,2,2.64,0.257,14.7,27.3,80.85,12.1,35.70848,38.180378,12.419046,0.009927295,12.95512,0.0,17.978333,86.615654,32.0,0.0,4.86999988555908,4.0
34,1,1.56,0.103,40.41,23.8,62.92,10.3,36.773678,2.8718681,1.3277472,0.6294505,1.1015384,5.8224173,23.378185,72.23928,17.3,20.16,2.71000003814697,0.58
35,2,4.61,0.246,13.32,25.6,77.76,16.6,117.7844,28.802649,7.7614923,1.051557,22.27298,2.7640927,6.0689864,152.17532,40.9,1.7,5.82999992370605,29.1
36,4,6.55,0.218,14.52,26.8,83.14,31.6,77.34725,30.031801,6.9934397,4.974413,39.151558,0.6047326,25.028126,65.662254,36.6,0.23,10.8100004196167,26.3
37,4,13.22,0.26,14.34,27.1,79.13,23.6,73.538,23.220924,10.986571,0.34491545,45.72159,0.61881894,10.631512,64.37746,41.9,0.12,14.4499998092651,34.8
38,1,11.63,0.067,31.58,22.0,62.35,8.0,6.4484596,1.6507286,0.29925486,0.26064137,0.6853902,1.2549398,4.1509547,62.235363,15.6,41.41,2.0,0.5
39,4,9.6,0.197,9.66,25.3,81.32,18.700001,95.58258,25.095655,24.318884,0.7269773,23.044184,0.92614913,26.430107,59.054455,41.1,0.0,10.2600002288818,51.6
40,3,3.14,0.135,19.98,24.0,65.81,21.5,69.64496,3.190814,5.710832,4.178879,0.11784256,0.66173136,3.236138,27.5389,23.2,9.25,0.430000007152557,1.5
41,2,3.29,0.276,7.59,26.5,72.84,11.1,100.916885,34.994255,6.3554153,0.20724179,10.746967,0.08881792,8.467307,344.91943,26.5,2.91,6.67999982833862,7.0
42,2,3.42,0.199,16.55,27.3,78.45,6.4000001,20.885967,18.581999,13.212752,0.30051753,13.944013,0.0601035,8.364405,56.377083,26.9,4.95,4.19999980926513,3.2
43,3,3.37,0.32,63.16,29.6,71.82,18.4,139.87213,15.749396,8.269146,0.5132573,0.009504765,0.9409718,26.242659,86.21773,23.7,0.38,0.360000014305114,3.2
44,2,2.02,0.246,22.15,27.7,75.03,9.1999998,84.222015,25.26866,8.785972,0.02055198,4.6139193,0.0,6.7513256,73.267815,25.5,2.01,3.89000010490417,2.9
46,1,2.0,0.045,21.8,20.6,68.7,3.7,13.189709,0.5205171,3.5650516,2.2392058,0.019642156,1.0999608,0.54015934,8.455948,18.1,26.12,2.35999989509582,1.1
47,6,2.58,0.302,7.36,27.7,68.01,14.3,64.24114,37.87611,3.1296964,5.6005096,3.769201,0.0,28.952114,39.10667,26.3,5.74,3.31999993324279,3.2
48,4,12.76,0.222,5.47,25.9,81.61,16.5,84.70262,20.399164,17.894356,0.53101945,31.841133,1.1421928,33.56444,72.7597,42.0,0.0,10.7799997329711,30.5
49,4,7.6,0.216,10.46,25.0,82.48,27.299999,96.92634,22.18869,21.683023,2.5586774,31.72558,1.2237154,33.677456,87.71309,41.2,0.0,12.329999923706,42.1
50,1,19.68,0.15,26.29,25.2,66.47,10.9,29.574293,33.79781,5.075968,0.6780873,7.3814645,13.745798,28.479666,125.1943,21.5,7.07,8.73999977111816,1.0
51,1,1.96,0.103,39.1,24.0,65.47,12.1,13.128704,10.517936,3.340661,0.598886,0.4491645,0.56145567,24.254885,5.8672113,16.5,10.7,3.54999995231628,1.2
52,4,3.82,0.217,19.06,27.6,73.28,22.700001,66.509964,19.322336,7.3452435,0.82673734,10.376614,0.9963245,10.599196,42.545177,36.2,2.78,8.25,18.2
53,4,11.83,0.223,10.73,26.6,81.72,22.299999,88.65157,17.376753,14.433754,0.8437267,46.716343,0.7834605,12.686034,77.66304,45.0,0.0,12.9099998474121,46.1
54,1,4.19,0.109,46.04,23.9,66.28,3.9000001,27.69445,7.024934,1.264102,1.6886859,0.9939123,2.5378537,24.577616,187.4345,20.1,8.47,2.75,0.88
55,4,9.11,0.249,14.62,27.1,81.1,35.5,146.07722,25.65365,14.906851,8.359722,28.585497,2.0106914,21.404455,137.73732,43.9,0.0,10.1800003051757,46.4
56,2,2.06,0.212,20.75,26.6,72.02,6.3000002,65.31512,25.632715,12.2921915,0.13361077,4.0186014,0.14388853,3.1141589,69.16927,21.4,5.34,2.45000004768371,1.3
57,1,8.98,0.077,37.57,22.9,61.01,6.3000002,48.17904,2.6876326,8.747202,2.3405213,0.21818419,0.48595572,9.897628,87.77947,17.4,15.86,1.11000001430511,0.81
58,1,4.64,0.095,34.85,23.4,60.22,6.5999999,18.2786,3.0513077,3.6459715,1.2770648,7.1457143,0.0,1.1600819,48.69419,17.9,27.69,5.38000011444091,0.66
59,2,8.15,0.202,11.11,26.4,65.69,15.3,266.05484,49.332207,3.9493208,1.0681785,4.8019032,0.048999015,24.587706,298.649,25.0,3.24,6.88999986648559,2.2
60,2,0.86,0.227,9.69,25.3,64.05,7.0999999,17.842598,9.819484,4.299178,0.5348742,3.612924,0.37340277,5.106535,88.15333,22.6,23.81,2.73000001907348,2.6
61,2,2.41,0.214,18.93,26.8,71.94,11.3,24.720469,22.70447,6.3122334,0.029359225,4.8540587,0.048932046,2.5738256,51.525444,22.7,4.36,3.75999999046325,2.1
62,4,6.35,0.264,14.24,27.3,76.44,26.6,88.87056,27.324203,4.8563147,0.15857354,51.397648,0.16848439,6.283477,73.538475,42.1,0.0,11.3500003814697,59.2
