,train_or_test,predictions
0,3.8,train
1,1.2000000000000002,train
2,29.1,train
3,2.0,train
4,0.61,train
5,29.1,train
6,5.1,train
7,18.2,train
8,5.1,train
9,3.8,train
10,1.2000000000000002,train
11,0.61,train
12,0.61,train
13,5.1,train
14,5.1,train
15,21.5,train
16,1.2000000000000002,train
17,1.2000000000000002,train
18,18.2,train
19,36.15,train
20,5.1,train
21,36.15,train
22,5.1,train
23,0.61,train
24,36.15,train
25,18.2,train
26,2.0,train
27,51.55,train
28,5.1,train
29,5.1,train
30,1.2000000000000002,train
31,0.61,train
32,2.0,train
33,2.0,train
34,0.61,train
35,0.61,train
36,5.1,train
37,36.15,train
38,13.4,train
39,0.61,train
40,5.1,train
41,3.8,train
42,5.1,train
43,29.1,train
44,1.2000000000000002,train
45,5.1,train
46,5.1,train
47,5.1,train
48,36.15,train
49,51.55,train
50,5.1,train
51,3.8,train
52,36.15,train
53,36.15,train
54,5.1,train
55,29.1,train
56,29.1,train
57,29.1,train
58,5.1,train
59,29.1,train
60,0.61,train
61,1.2000000000000002,train
62,5.1,train
63,3.8,train
64,5.1,train
65,5.1,train
66,0.61,train
67,0.61,train
68,5.1,train
69,5.1,train
70,29.1,train
71,5.1,train
72,36.15,train
73,2.2,train
74,3.8,train
75,0.61,train
76,3.55,train
77,0.61,train
78,3.8,train
79,18.2,train
80,36.15,train
81,3.8,train
82,18.2,train
83,5.1,train
84,1.2000000000000002,train
85,36.15,train
86,36.15,train
87,0.61,train
88,5.1,train
89,1.15,train
90,2.0,train
91,0.61,train
92,36.15,train
93,5.1,train
94,36.15,train
95,0.61,train
96,2.0,train
97,5.1,train
98,36.15,train
99,36.15,train
100,18.2,train
101,18.2,train
102,29.1,train
103,5.1,train
104,0.61,train
105,1.2000000000000002,train
106,1.2000000000000002,train
107,0.61,train
108,0.61,train
109,1.15,train
110,5.1,train
111,65.0,train
112,2.0,train
113,3.55,train
114,5.1,train
115,36.15,train
116,36.15,test
117,0.61,test
118,5.1,test
119,29.1,test
120,3.8,test
121,1.15,test
122,1.15,test
123,18.2,test
124,0.61,test
125,5.1,test
126,5.1,test
127,18.2,test
128,1.15,test
129,3.8,test
130,0.61,test
131,2.2,test
132,36.15,test
133,5.1,test
134,13.4,test
135,0.61,test
136,18.2,test
137,36.15,test
138,5.1,test
139,5.1,test
140,29.1,test
141,29.1,test
142,36.15,test
143,36.15,test
144,0.61,test
145,0.61,test
146,51.55,test
147,36.15,test
148,29.1,test
149,36.15,test
150,3.8,test
151,5.1,test
152,0.61,test
153,36.15,test
154,3.8,test
